"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"172.19.19.126";"49408";"172.172.255.216";"443";"5008";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.126";"49677";"46.151.194.97";"443";"4632";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"49692";"181.30.145.97";"80";"10324";"svchost";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.126";"49693";"52.184.201.245";"443";"8588";"gamingservices";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"49695";"20.201.192.98";"443";"8588";"gamingservices";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"49696";"20.190.173.145";"443";"9836";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"49698";"23.49.201.87";"443";"13368";"Lenovo.Modern.ImController";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"49701";"34.104.35.123";"80";"13748";"updater";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"49702";"2.20.140.32";"443";"8588";"gamingservices";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"50914";"142.251.129.14";"443";"9872";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"50916";"189.1.174.48";"443";"4632";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"50918";"172.19.19.15";"7070";"4632";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"50920";"149.154.166.110";"443";"15804";"powershell";"SOSPECHOSA"
"TCP";"ESTABLISHED";"172.19.19.126";"55400";"150.171.27.11";"443";"2936";"msedgewebview2";"BASE"
"TCP";"ESTABLISHED";"172.19.19.126";"55401";"20.190.173.145";"443";"9836";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"55403";"142.251.128.238";"443";"13748";"updater";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"55405";"20.190.173.145";"443";"9836";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"55407";"151.101.218.172";"80";"4300";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"56277";"23.64.58.136";"443";"1724";"SearchHost";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.126";"56278";"54.188.14.124";"443";"5028";"mc-fw-host";"BASE"
"TCP";"ESTABLISHED";"172.19.19.126";"56279";"181.30.145.99";"443";"14408";"Widgets";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.126";"56280";"52.97.23.130";"443";"1724";"SearchHost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"56284";"54.188.14.124";"443";"5028";"mc-fw-host";"BASE"
"TCP";"ESTABLISHED";"172.19.19.126";"56286";"54.188.14.124";"443";"5028";"mc-fw-host";"BASE"
"TCP";"ESTABLISHED";"172.19.19.126";"56287";"13.107.226.33";"443";"2004";"RuntimeBroker";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.126";"56291";"34.104.35.123";"80";"10324";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"56293";"23.1.208.14";"443";"3336";"backgroundTaskHost";"BASE"
"TCP";"ESTABLISHED";"172.19.19.126";"56453";"128.85.75.152";"443";"11676";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"56454";"13.107.226.33";"443";"12648";"svchost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"56473";"8.8.4.4";"443";"9872";"chrome";"BASE"
"TCP";"ESTABLISHED";"172.19.19.126";"56564";"216.239.34.223";"443";"9872";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"56566";"4.160.58.170";"443";"4556";"MsMpEng";"BASE"
"TCP";"ESTABLISHED";"172.19.19.126";"56567";"4.160.58.170";"443";"4556";"MsMpEng";"BASE"
"TCP";"ESTABLISHED";"172.19.19.126";"56568";"13.107.6.158";"443";"17052";"PhoneExperienceHost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"56569";"13.107.6.158";"443";"17052";"PhoneExperienceHost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"56570";"13.107.6.158";"443";"17052";"PhoneExperienceHost";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.19.126";"56573";"52.182.143.214";"443";"5256";"MpDefenderCoreService";"NUEVA"
"TCP";"ESTABLISHED";"172.19.19.126";"56574";"52.123.245.33";"443";"5256";"MpDefenderCoreService";"OBSERVACION"
