"Protocol";"State";"LocalAddress";"LocalPort";"RemoteAddress";"RemotePort";"Pid";"ProcessName";"MonitorStatus"
"TCP";"ESTABLISHED";"172.19.18.136";"49385";"149.154.166.110";"443";"20808";"powershell";"SOSPECHOSA"
"TCP";"ESTABLISHED";"172.19.18.136";"49428";"172.172.255.216";"443";"5828";"svchost";"BASE"
"TCP";"ESTABLISHED";"172.19.18.136";"51360";"151.101.1.91";"443";"19344";"chrome";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.136";"51368";"172.217.116.4";"443";"4068";"language_server_windows_x64";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.136";"51630";"13.82.192.250";"443";"19344";"chrome";"BASE"
"TCP";"ESTABLISHED";"172.19.18.136";"52478";"172.172.255.216";"443";"21176";"OneDrive";"BASE"
"TCP";"ESTABLISHED";"172.19.18.136";"52480";"177.54.148.69";"443";"15880";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.136";"53764";"13.82.192.250";"443";"19344";"chrome";"BASE"
"TCP";"ESTABLISHED";"172.19.18.136";"53765";"52.123.245.35";"443";"5544";"MpDefenderCoreService";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.136";"53771";"172.217.119.4";"443";"4068";"language_server_windows_x64";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.136";"53773";"142.251.129.33";"443";"4068";"language_server_windows_x64";"BASE"
"TCP";"ESTABLISHED";"172.19.18.136";"53774";"172.217.112.4";"443";"4068";"language_server_windows_x64";"BASE"
"TCP";"ESTABLISHED";"172.19.18.136";"55546";"172.217.112.4";"443";"24988";"language_server_windows_x64";"BASE"
"TCP";"ESTABLISHED";"172.19.18.136";"55985";"189.1.174.47";"443";"15880";"AnyDesk";"OBSERVACION"
"TCP";"ESTABLISHED";"172.19.18.136";"56552";"142.251.134.202";"443";"19344";"chrome";"BASE"
"TCP";"ESTABLISHED";"172.19.18.136";"57488";"52.97.23.226";"443";"4888";"msedgewebview2";"OBSERVACION"
